time (s),Velocity (Kmph)
0.1,273.6
0.2,277.2
0.3,277.2
0.4,280.8
0.5,280.8
0.6,284.4
0.7,284.4
0.8,277.2
0.9,270
1,259.2
1.1,252
1.2,237.6
1.3,230.4
1.4,219.6
1.5,208.8
1.6,198
1.7,194.4
1.8,183.6
1.9,176.4
2,165.6
2.1,162
2.2,151.2
2.3,136.8
2.4,126
2.5,118.8
2.6,111.6
2.7,100.8
2.8,97.2
2.9,108
3,118.8
3.1,126
3.2,136.8
3.3,147.6
3.4,158.4
3.5,165.6
3.6,176.4
3.7,187.2
3.8,194.4
3.9,205.2
4,212.4
4.1,223.2
4.2,230.4
4.3,237.6
4.4,244.8
4.5,248.4
4.6,255.6
4.7,259.2
4.8,262.8
4.9,270
5,273.6
5.1,277.2
5.2,277.2
5.3,280.8
5.4,277.2
5.5,273.6
5.6,266.4
5.7,259.2
5.8,248.4
5.9,241.2
6,234
6.1,223.2
6.2,216
6.3,205.2
6.4,198
6.5,190.8
6.6,183.6
6.7,172.8
6.8,165.6
6.9,158.4
7,151.2
7.1,147.6
7.2,158.4
7.3,162
7.4,158.4
7.5,151.2
7.6,144
7.7,133.2
7.8,126
7.9,122.4
8,126
8.1,136.8
8.2,144
8.3,154.8
8.4,165.6
8.5,176.4
8.6,190.8
8.7,198
8.8,205.2
8.9,208.8
9,201.6
9.1,190.8
9.2,183.6
9.3,176.4
9.4,162
9.5,151.2
9.6,140.4
9.7,133.2
9.8,122.4
9.9,115.2
10,104.4
10.1,97.2
10.2,86.4
10.3,75.6
10.4,86.4
10.5,79.2
10.6,100.8
10.7,115.2
10.8,108
10.9,122.4
11,136.8
11.1,144
11.2,144
11.3,133.2
11.4,122.4
11.5,115.2
11.6,100.8
11.7,90
11.8,79.2
11.9,72
12,61.2
12.1,50.4
12.2,50.4
12.3,61.2
12.4,79.2
12.5,72
12.6,86.4
12.7,97.2
12.8,100.8
12.9,90
13,82.8
13.1,86.4
13.2,93.6
13.3,111.6
13.4,104.4
13.5,122.4
13.6,115.2
13.7,104.4
13.8,97.2
13.9,90
14,86.4
14.1,90
14.2,100.8
14.3,111.6
14.4,118.8
14.5,126
14.6,140.4
14.7,133.2
14.8,147.6
14.9,158.4
15,169.2
15.1,180
15.2,187.2
15.3,198
15.4,205.2
15.5,216
15.6,219.6
15.7,226.8
15.8,234
15.9,241.2
16,248.4
16.1,255.6
16.2,259.2
16.3,262.8
16.4,266.4
16.5,270
16.6,273.6
16.7,273.6
16.8,277.2
16.9,280.8
17,280.8
17.1,284.4
17.2,288
17.3,288
17.4,291.6
17.5,291.6
17.6,291.6
17.7,277.2
17.8,270
17.9,262.8
18,255.6
18.1,248.4
18.2,237.6
18.3,226.8
18.4,219.6
18.5,216
18.6,205.2
18.7,198
18.8,187.2
18.9,180
19,172.8
19.1,165.6
19.2,154.8
19.3,144
19.4,133.2
19.5,126
19.6,115.2
19.7,108
19.8,100.8
19.9,93.6
20,82.8
20.1,75.6
20.2,68.4
20.3,82.8
20.4,75.6
20.5,93.6
20.6,108
20.7,118.8
20.8,133.2
20.9,126
21,144
21.1,154.8
21.2,165.6
21.3,176.4
21.4,187.2
21.5,194.4
21.6,205.2
21.7,212.4
21.8,223.2
21.9,230.4
22,234
22.1,223.2
22.2,212.4
22.3,205.2
22.4,198
22.5,190.8
22.6,180
22.7,172.8
22.8,165.6
22.9,158.4
23,158.4
23.1,165.6
23.2,176.4
23.3,183.6
23.4,190.8
23.5,201.6
23.6,208.8
23.7,198
23.8,190.8
23.9,187.2
24,187.2
24.1,194.4
24.2,208.8
24.3,212.4
24.4,216
24.5,208.8
24.6,201.6
24.7,190.8
24.8,180
24.9,172.8
25,162
25.1,154.8
25.2,147.6
25.3,136.8
25.4,126
25.5,118.8
25.6,111.6
25.7,104.4
25.8,97.2
25.9,100.8
26,111.6
26.1,122.4
26.2,133.2
26.3,140.4
26.4,147.6
26.5,158.4
26.6,165.6
26.7,176.4
26.8,183.6
26.9,190.8
27,190.8
27.1,180
27.2,172.8
27.3,162
27.4,154.8
27.5,147.6
27.6,140.4
27.7,129.6
27.8,118.8
27.9,108
28,100.8
28.1,90
28.2,79.2
28.3,72
28.4,68.4
28.5,82.8
28.6,72
28.7,97.2
28.8,90
28.9,111.6
29,118.8
29.1,108
29.2,97.2
29.3,86.4
29.4,93.6
29.5,104.4
29.6,118.8
29.7,129.6
29.8,140.4
29.9,151.2
30,162
30.1,172.8
30.2,183.6
30.3,194.4
30.4,205.2
30.5,212.4
30.6,219.6
30.7,230.4
30.8,237.6
30.9,244.8
31,252
31.1,255.6
31.2,259.2
31.3,266.4
31.4,270
31.5,273.6
31.6,273.6
